,Time,Total_Electricity_[KW],Avg_Electricity_[KW]
320,2004-11-17,145724.98165663655,9107.811353539784
321,2004-11-18,102098.7062347267,6381.169139670419
322,2004-11-19,95898.82245421088,5993.67640338818
323,2004-11-20,149735.01649614322,9358.438531008951
324,2004-11-21,146055.61919345523,9128.476199590952
325,2004-11-22,138957.63061724033,8684.85191357752
326,2004-11-23,93434.59756810566,5839.662348006604
327,2004-11-24,140925.10771496547,8807.819232185342
328,2004-11-25,101918.31167615794,6369.8944797598715
329,2004-11-26,93303.18074351833,5831.448796469896
330,2004-11-27,142511.80172373142,8906.987607733214
331,2004-11-28,139536.91891222724,8721.057432014202
332,2004-11-29,136984.57572233412,8561.535982645883
333,2004-11-30,136529.44671284675,8533.090419552922
334,2004-12-01,140771.72794285338,8798.232996428336
335,2004-12-02,98675.96070567383,6167.2475441046145
336,2004-12-03,92266.87054478712,5766.679409049195
337,2004-12-04,144603.80992399724,9037.738120249827
338,2004-12-05,147720.49872003015,9232.531170001885
339,2004-12-06,142694.3313391255,8918.395708695343
340,2004-12-07,142485.76820591665,8905.36051286979
341,2004-12-08,134380.3879673986,8398.774247962412
342,2004-12-09,97688.25775477955,6105.516109673722
343,2004-12-10,92600.70289071757,5787.543930669848
344,2004-12-11,141235.13973459738,8827.196233412336
345,2004-12-12,136733.4555679124,8545.840972994525
346,2004-12-13,136799.4559892033,8549.965999325206
347,2004-12-14,139859.93491036116,8741.245931897573
348,2004-12-15,135156.02557620418,8447.251598512761
349,2004-12-16,98051.3554469933,6128.209715437081
350,2004-12-17,91833.47774912507,5739.592359320317
351,2004-12-18,141956.40950129795,8872.275593831122
352,2004-12-19,141490.6588122505,8843.166175765657
353,2004-12-20,138669.0893810773,8666.818086317331
354,2004-12-21,137848.785877575,8615.549117348437
355,2004-12-22,135882.85465888248,8492.678416180155
356,2004-12-23,97980.55208627804,6123.7845053923775
357,2004-12-24,88005.79452516296,5500.362157822685
358,2004-12-25,92428.9211201601,5776.807570010006
359,2004-12-26,136953.93416794503,8559.620885496564
360,2004-12-27,136509.48424476132,8531.842765297582
361,2004-12-28,139252.80318291308,8703.300198932067
362,2004-12-29,137520.67928564438,8595.042455352774
363,2004-12-30,98826.87547253909,6176.679717033693
364,2004-12-31,87238.70282448172,5452.4189265301075
